Run,Seed,Generation,BestPenalty,MeanPenalty,BestHardPenalty
1,2026,1,6268,17926.74375,5700
1,2026,2,3148,15083.99375,2300
1,2026,3,3148,13036.89375,2300
1,2026,4,530,11706.625,0
1,2026,5,530,10527.96875,0
1,2026,6,530,8931.04375,0
1,2026,7,530,8143.625,0
1,2026,8,530,6071.55625,0
1,2026,9,530,5001.9625,0
1,2026,10,530,3578.1875,0
1,2026,11,530,2972.01875,0
1,2026,12,530,2138.86875,0
1,2026,13,530,1887.84375,0
1,2026,14,530,2163.29375,0
1,2026,15,530,2151.075,0
1,2026,16,530,1883.09375,0
1,2026,17,530,2299.86875,0
1,2026,18,530,2004.7625,0
1,2026,19,530,2606.075,0
1,2026,20,530,2061.3875,0
1,2026,21,530,2689.38125,0
1,2026,22,530,2081.73125,0
1,2026,23,530,2283.7875,0
1,2026,24,530,2241.1,0
1,2026,25,530,2091.7375,0
1,2026,26,530,1856.4125,0
1,2026,27,530,2199.45625,0
1,2026,28,530,2328.4375,0
1,2026,29,530,2136.03125,0
1,2026,30,530,2652.35625,0
1,2026,31,530,2112.55,0
1,2026,32,530,1745.7,0
1,2026,33,530,2081.75,0
1,2026,34,530,2543.25625,0
1,2026,35,530,2519.99375,0
1,2026,36,530,2604.4,0
1,2026,37,530,2551.425,0
1,2026,38,530,2464.08125,0
1,2026,39,530,1984.30625,0
1,2026,40,530,2597.61875,0
1,2026,41,530,2168.9,0
1,2026,42,530,2367.05625,0
1,2026,43,530,2419.95625,0
1,2026,44,530,2116.1375,0
1,2026,45,530,2214.24375,0
1,2026,46,530,2277.4,0
1,2026,47,530,2543.0375,0
1,2026,48,530,2100.4125,0
1,2026,49,530,1968.9125,0
1,2026,50,530,2522.54375,0
1,2026,51,530,2385.48125,0
1,2026,52,530,1900.15,0
1,2026,53,530,2139.36875,0
1,2026,54,530,2450.8625,0
1,2026,55,530,2218.04375,0
1,2026,56,530,2219.0875,0
1,2026,57,530,2142.09375,0
1,2026,58,530,2270.1,0
1,2026,59,530,2167.96875,0
1,2026,60,530,2397.13125,0
1,2026,61,530,2308.49375,0
1,2026,62,530,2163.225,0
1,2026,63,530,2258.1,0
1,2026,64,530,2765.35625,0
1,2026,65,530,1962.56875,0
1,2026,66,530,2398.29375,0
1,2026,67,530,2193.31875,0
1,2026,68,530,2488.11875,0
1,2026,69,530,2367.94375,0
1,2026,70,530,2370.3375,0
1,2026,71,530,2431.06875,0
1,2026,72,530,2306.6,0
1,2026,73,530,2335.4625,0
1,2026,74,530,2341.38125,0
1,2026,75,530,2255.33125,0
1,2026,76,530,2094.74375,0
1,2026,77,530,2017.00625,0
1,2026,78,530,1902.6125,0
1,2026,79,530,2202.80625,0
1,2026,80,530,2290.175,0
1,2026,81,530,2805.9875,0
1,2026,82,530,2320.2375,0
1,2026,83,530,1962.3875,0
1,2026,84,530,2204.06875,0
1,2026,85,530,2535.225,0
1,2026,86,530,2253.175,0
1,2026,87,530,2064.3125,0
1,2026,88,530,2288.6375,0
1,2026,89,530,2620.70625,0
1,2026,90,530,2354.41875,0
1,2026,91,530,2170.43125,0
1,2026,92,530,2336.69375,0
1,2026,93,530,1963.1625,0
1,2026,94,530,2277.29375,0
1,2026,95,530,2053.6625,0
1,2026,96,530,2404.85625,0
1,2026,97,530,2127.9125,0
1,2026,98,530,2257.38125,0
1,2026,99,530,2292.20625,0
1,2026,100,530,2147.28125,0
1,2026,101,530,2635.78125,0
1,2026,102,530,2371.75,0
1,2026,103,530,2664.23125,0
1,2026,104,530,2288.38125,0
1,2026,105,530,2519.5375,0
1,2026,106,530,2512.96875,0
1,2026,107,530,2399.68125,0
1,2026,108,530,1955.30625,0
1,2026,109,530,2577.06875,0
1,2026,110,530,1756.8875,0
1,2026,111,530,1865.51875,0
1,2026,112,530,2062.9875,0
1,2026,113,530,2198.75625,0
1,2026,114,530,2094.575,0
1,2026,115,530,2493.30625,0
1,2026,116,530,2309.7875,0
1,2026,117,530,2359.19375,0
1,2026,118,530,2165.325,0
1,2026,119,530,2144.06875,0
1,2026,120,530,2227.6,0
1,2026,121,530,1730.75625,0
1,2026,122,530,2057.11875,0
1,2026,123,530,1886.76875,0
1,2026,124,530,2103,0
1,2026,125,530,2055.05,0
1,2026,126,530,2364.725,0
1,2026,127,530,2106.48125,0
1,2026,128,530,2242.35,0
1,2026,129,530,2352.4625,0
1,2026,130,530,2146.8875,0
1,2026,131,530,1947.4875,0
1,2026,132,530,2017.14375,0
1,2026,133,530,2211.4,0
1,2026,134,530,2046.55,0
1,2026,135,530,2344.7875,0
1,2026,136,530,2502.30625,0
1,2026,137,530,2139.225,0
1,2026,138,530,2198.8375,0
1,2026,139,530,2183.70625,0
1,2026,140,530,2379.16875,0
1,2026,141,530,2269.55,0
1,2026,142,530,2632.6125,0
1,2026,143,530,2843.84375,0
1,2026,144,530,2456.76875,0
1,2026,145,530,2095.56875,0
1,2026,146,530,2481.475,0
1,2026,147,530,2438.625,0
1,2026,148,530,2273.975,0
1,2026,149,530,2362.24375,0
1,2026,150,530,2419.51875,0
1,2026,151,530,2320.5125,0
1,2026,152,530,1941.6625,0
1,2026,153,530,2246.9875,0
1,2026,154,530,1921.3625,0
