EventID,CourseName,CourseBase,BaseCode,CourseType,Occurrence,Day,DayCN,StartSection,EndSection,StartTime,EndTime,CampusID,Campus,Building,Room,RoomFullName,RoomCapacity,RoomSizeType,Professor,ProfessorCode,DurationSections,Enrollment
7,编译原理_理论_01,编译原理,Required_C,理论课,1,Fri,星期五,1,3,08:15,11:00,1,望江校区,基础教学楼C座,C301,望江校区-基础教学楼C座-C301,50,小教室,Prof. Zhang,E,3,49
13,编译原理课程设计_实验_01,编译原理课程设计,Required_C,实验课,1,Fri,星期五,5,6,13:50,15:30,1,望江校区,基础教学楼C座,C306,望江校区-基础教学楼C座-C306,50,小教室,Prof. Zhang,E,2,49
12,系统结构课程设计_实验_03,系统结构课程设计,Required_A,实验课,3,Fri,星期五,8,9,16:45,18:25,1,望江校区,基础教学楼C座,C301,望江校区-基础教学楼C座-C301,50,小教室,Prof. Liu,C,2,49
2,系统结构_理论_02,系统结构,Required_A,理论课,2,Mon,星期一,1,3,08:15,11:00,1,望江校区,基础教学楼C座,C301,望江校区-基础教学楼C座-C301,50,小教室,Prof. Liu,C,3,49
1,系统结构_理论_01,系统结构,Required_A,理论课,1,Mon,星期一,6,8,14:45,17:30,1,望江校区,基础教学楼C座,C305,望江校区-基础教学楼C座-C305,50,小教室,Prof. Luo,F,3,49
8,编译原理_理论_02,编译原理,Required_C,理论课,2,Mon,星期一,10,12,19:20,21:55,1,望江校区,基础教学楼C座,C305,望江校区-基础教学楼C座-C305,50,小教室,Prof. Luo,F,3,49
9,编译原理_理论_03,编译原理,Required_C,理论课,3,Thu,星期四,1,3,08:15,11:00,1,望江校区,基础教学楼C座,C305,望江校区-基础教学楼C座-C305,50,小教室,Prof. Liu,C,3,49
3,系统结构_理论_03,系统结构,Required_A,理论课,3,Thu,星期四,5,7,13:50,16:25,1,望江校区,基础教学楼C座,C301,望江校区-基础教学楼C座-C301,50,小教室,Prof. Liu,C,3,49
15,编译原理课程设计_实验_03,编译原理课程设计,Required_C,实验课,3,Thu,星期四,8,9,16:45,18:25,1,望江校区,基础教学楼C座,C305,望江校区-基础教学楼C座-C305,50,小教室,Prof. Liu,C,2,49
16,模式识别_01,模式识别,Elective_A,选修课,1,Thu,星期四,10,11,19:20,21:00,2,江安校区,教学楼A座,A507,江安校区-教学楼A座-A507,50,小教室,Prof. Zhao,A,2,37
4,微积分_理论_01,微积分,Required_B,理论课,1,Tue,星期二,1,3,08:15,11:00,2,江安校区,综合楼,C203,江安校区-综合楼-C203,120,大教室,Prof. Zhou,D,3,90
6,微积分_理论_03,微积分,Required_B,理论课,3,Tue,星期二,5,7,13:50,16:25,2,江安校区,综合楼,C106,江安校区-综合楼-C106,120,大教室,Prof. Zhang,E,3,90
10,系统结构课程设计_实验_01,系统结构课程设计,Required_A,实验课,1,Tue,星期二,8,9,16:45,18:25,1,望江校区,基础教学楼C座,C306,望江校区-基础教学楼C座-C306,50,小教室,Prof. Luo,F,2,49
11,系统结构课程设计_实验_02,系统结构课程设计,Required_A,实验课,2,Tue,星期二,10,11,19:20,21:00,1,望江校区,基础教学楼C座,C305,望江校区-基础教学楼C座-C305,50,小教室,Prof. Luo,F,2,49
5,微积分_理论_02,微积分,Required_B,理论课,2,Wed,星期三,1,3,08:15,11:00,2,江安校区,综合楼,C106,江安校区-综合楼-C106,120,大教室,Prof. Zhou,D,3,90
17,进化计算_01,进化计算,Elective_B,选修课,1,Wed,星期三,6,7,14:45,16:25,2,江安校区,教学楼A座,A305,江安校区-教学楼A座-A305,50,小教室,Prof. Sun,B,2,37
14,编译原理课程设计_实验_02,编译原理课程设计,Required_C,实验课,2,Wed,星期三,8,9,16:45,18:25,1,望江校区,基础教学楼C座,C306,望江校区-基础教学楼C座-C306,50,小教室,Prof. Luo,F,2,49
