Run,Seed,BestPenalty,HardPenalty,SoftPenalty,SoftTheoryMorning,SoftLabAfternoon,SoftNoEvening,SoftDailyCampusSwitch,SoftTheoryLabSameProfessor,GenerationCount,Feasible,SelectedForVisualization
1,2026,530,0,530,400,32,18,0,80,154,1,0
2,2027,284,0,284,160,32,12,0,80,46,1,0
3,2028,530,0,530,400,32,18,0,80,346,1,0
4,2029,284,0,284,160,32,12,0,80,15,1,0
5,2030,530,0,530,400,32,18,0,80,204,1,0
6,2031,530,0,530,400,32,18,0,80,165,1,0
7,2032,452,0,452,360,0,12,0,80,165,1,0
8,2033,372,0,372,360,0,12,0,0,262,1,0
9,2034,452,0,452,360,0,12,0,80,155,1,0
10,2035,484,0,484,360,32,12,0,80,154,1,0
11,2036,282,0,282,200,64,18,0,0,58,1,1
12,2037,530,0,530,400,32,18,0,80,165,1,0
13,2038,452,0,452,360,0,12,0,80,269,1,0
14,2039,372,0,372,360,0,12,0,0,180,1,0
15,2040,282,0,282,200,64,18,0,0,75,1,0
16,2041,530,0,530,400,32,18,0,80,186,1,0
17,2042,532,0,532,360,0,12,0,160,165,1,0
18,2043,452,0,452,360,0,12,0,80,234,1,0
19,2044,532,0,532,360,0,12,0,160,178,1,0
20,2045,652,0,652,560,0,12,0,80,165,1,0
21,2046,372,0,372,360,0,12,0,0,171,1,0
22,2047,450,0,450,400,32,18,0,0,191,1,0
23,2048,484,0,484,360,32,12,0,80,154,1,0
24,2049,452,0,452,360,0,12,0,80,161,1,0
25,2050,452,0,452,360,0,12,0,80,165,1,0
26,2051,450,0,450,400,32,18,0,0,166,1,0
27,2052,532,0,532,360,0,12,0,160,181,1,0
28,2053,282,0,282,200,64,18,0,0,15,1,0
29,2054,284,0,284,160,32,12,0,80,15,1,0
30,2055,530,0,530,400,32,18,0,80,170,1,0
